Nom Adresse,Adresse,Colonne 3,AdresseID,Préfix,Num,BisTer,TypeRue,Nom Rue,CodePostal,Ville,Cedex,Pays,AdresseForcee,AdresseRue,AdresseExacte,AdresseGeo,Parent,AdresseParentID
Grand Café Foy - Place Stan - Nancy,"1 Pl. Stanislas, 54000, Nancy, France",Rue,A-R-L0078,,1,,Pl.,Stanislas,54000,Nancy,,France,,1 Pl. Stanislas,"1 Pl. Stanislas, 54000, Nancy, France","1 Pl. Stanislas, 54000, Nancy, France",Quartier - Nancy - Place Stanislas,A-Q-L0192
Green Bagel Café - Epinal,"18 Rue des Petites Boucheries,  88000, Épinal, France",Rue,A-R-L0079,,18,,Rue,des Petites Boucheries,88000,Épinal,,France,,18 Rue des Petites Boucheries,"18 Rue des Petites Boucheries, 88000, Épinal, France","18 Rue des Petites Boucheries, 88000, Épinal, France",Quartier - Epinal - 4 Nations,A-Q-L0161
Hall du livre - Nancy,"53-55 Rue Saint-Dizier, 54000 Nancy",Rue,A-R-L0080,,53-55,,Rue,Saint-Dizier,54000,Nancy,,France,,53-55 Rue Saint-Dizier,"53-55 Rue Saint-Dizier, 54000, Nancy, France","53-55 Rue Saint-Dizier, 54000, Nancy, France",Quartier - Nancy - Place des Vosges,A-Q-L0191
HelloAsso - Siège Social,"Cité Numérique 2 Rue Marc Sangnier, 33130, Belges, France",Rue,A-R-L0081,,2,,Rue,Marc Sangnier,33130,Belges,,France,,2 Rue Marc Sangnier,"2 Rue Marc Sangnier, 33130, Belges, France","2 Rue Marc Sangnier, 33130, Belges, France",Quartier - Belges - Hotel de Ville,A-Q-L0154
Hippopotamus - Epinal Jeuxey - Le saut le cerf ,"27B Rue du Saut le Cerf, 88000, Jeuxey, France",Rue,A-R-L0082,,27,B,Rue,du Saut le Cerf,88000,Jeuxey,,France,,27 B Rue du Saut le Cerf,"27 B Rue du Saut le Cerf, 88000, Jeuxey, France","27 B Rue du Saut le Cerf, 88000, Jeuxey, France",Quartier - Epinal - Le sault le cerf (Jeuxey),A-Q-L0167
Hotel de Ville d'Epinal,"9 Rue du Général Leclerc, 88000, Épinal, France",Rue,A-R-L0083,,9,,Rue,du Général Leclerc,88000,Épinal,,France,,9 Rue du Général Leclerc,"9 Rue du Général Leclerc, 88000, Épinal, France","9 Rue du Général Leclerc, 88000, Épinal, France",Quartier - Nancy - Place des Vosges,A-Q-L0191
Iello - Siège Social,"9 Av. des Érables, 54180 Heillecourt",Rue,A-R-L0084,,9,,Rue,des Érables,54180,Heillecourt,,France,,9 Rue des Érables,"9 Rue des Érables, 54180, Heillecourt, France","9 Rue des Érables, 54180, Heillecourt, France",Quartier - Heillecourt Nancy - Zone Activité Commercial,A-Q-L0175
Imagine - Epinal - Siège Social,"3 Rue des Noires Halles, 88000 Épinal, France",Rue,A-R-L0085,,3,,Rue,des Noires Halles,88000,Épinal,,France,,3 Rue des Noires Halles,"3 Rue des Noires Halles, 88000, Épinal, France","3 Rue des Noires Halles, 88000, Épinal, France",Quartier - Nancy - Place des Vosges,A-Q-L0191
Impots - Centre des impots,"139 Rue de Bercy, 75012 Paris",Rue,A-R-L0086,,139,,Rue,de Bercy,75012,Paris,,France,,139 Rue de Bercy,"139 Rue de Bercy, 75012, Paris, France","139 Rue de Bercy, 75012, Paris, France",Quartier - Paris - Bercy,A-Q-L0196
Intermarché - Epinal,"2 Avenue Fontenelle, 88000, Épinal, France",Rue,A-R-L0087,,2,,Av.,Fontenelle,88000,Épinal,,France,,2 Av. Fontenelle,"2 Av. Fontenelle, 88000, Épinal, France","2 Av. Fontenelle, 88000, Épinal, France",Quartier - Epinal - Golbey Intermarché,A-Q-L0164
Intermarché - Ludres,"Chemin du Bon Curé, Av. du Bon Curé, 54710 , Ludres, France",Rue,A-R-L0088,,,,Chem.,"du Bon Curé, Av. du Bon Curé, ",54710,Ludres,,France,,"Chem. du Bon Curé, Av. du Bon Curé, ","Chem. du Bon Curé, Av. du Bon Curé, , 54710, Ludres, France","Chem. du Bon Curé, Av. du Bon Curé, , 54710, Ludres, France",Quartier - Ludres Nancy - Intermarché,A-Q-L0179
Intersport - Nancy,"1 Rue des Ponts, 54000 Nancy, France",Rue,A-R-L0089,,1,,Rue,des Ponts,54000,Nancy,,France,,1 Rue des Ponts,"1 Rue des Ponts, 54000, Nancy, France","1 Rue des Ponts, 54000, Nancy, France",Quartier - Nancy - Centre Saint Seb,A-Q-L0184
Intersport - Siège Social,"2 Rue Victor Hugo, 91160 Longjumeau",Rue,A-R-L0090,,3,,Rue,Victor Hugo,91160,Longjumeau,,France,,3 Rue Victor Hugo,"3 Rue Victor Hugo, 91160, Longjumeau, France","3 Rue Victor Hugo, 91160, Longjumeau, France",Quateir - Paris Orly - Paris,A-Q-L0221
KES (Kebab - Nancy) ,"40 Av. du XX Corps, 54000 Nancy",Rue,A-R-L0091,,40,,Av.,du XX Corps,54000,Nancy,,France,,40 Av. du XX Corps,"40 Av. du XX Corps, 54000, Nancy, France","40 Av. du XX Corps, 54000, Nancy, France",Quartier - Nancy - Muséum-Aquarium de Nancy,A-Q-L0189
Kiabi - essay les nancy - 54,"2 Rue Jacques Brel, 54270, Essay-lès-Nancy, France",Rue,A-R-L0092,,2,,Rue,Jacques Brel,54270,Essay-lès-Nancy,,France,,2 Rue Jacques Brel,"2 Rue Jacques Brel, 54270, Essay-lès-Nancy, France","2 Rue Jacques Brel, 54270, Essay-lès-Nancy, France",Quartier - Pulnoy Nancy - Zone Activité Commerciale,A-Q-L0207
L'Atelier Pizza - Epinal,"18 Pl. des Vosges, 88000 Épinal, France",Rue,A-R-L0093,,18,,Pl.,des Vosges,88000,Épinal,,France,,18 Pl. des Vosges,"18 Pl. des Vosges, 88000, Épinal, France","18 Pl. des Vosges, 88000, Épinal, France",Quartier - Epinal - Place des vosges,A-Q-L0173
L'Epi Bleu - boulangerie - Epinal,"10 Rue Saint-Michel, 88000 Épinal, France",Rue,A-R-L0094,,10,,Rue,Saint-Michel,88000,Épinal,,France,,10 Rue Saint-Michel,"10 Rue Saint-Michel, 88000, Épinal, France","10 Rue Saint-Michel, 88000, Épinal, France",Quartier - Epinal - Place des vosges,A-Q-L0173
La Boulange Dorée - Place des Vosges - épinal,"20 Pl. des Vosges, 88000 Épinal, France",Rue,A-R-L0095,,20,,Pl.,des Vosges,88000,Épinal,,France,,20 Pl. des Vosges,"20 Pl. des Vosges, 88000, Épinal, France","20 Pl. des Vosges, 88000, Épinal, France",Quartier - Epinal - Place des vosges,A-Q-L0173
La Casa Del Professor,"6 Rue Président Doumer, 88000 Épinal, France",Rue,A-R-L0096,,6,,Rue,Président Doumer,88000,Épinal,,France,,6 Rue Président Doumer,"6 Rue Président Doumer, 88000, Épinal, France","6 Rue Président Doumer, 88000, Épinal, France",Quartier - Epinal - 4 Nations,A-Q-L0161
La Comédie des Fleurs,"15 Rue de la Comédie, 88000 Épinal",Rue,A-R-L0097,,15,,Rue,de la Comédie,88000,Épinal,,France,,15 Rue de la Comédie,"15 Rue de la Comédie, 88000, Épinal, France","15 Rue de la Comédie, 88000, Épinal, France",Quartier - Epinal - Place des vosges,A-Q-L0173
La Companie des animauux - Siège Social,"6 Rue Leonard de Vinci, 91090, LISSES, France",Rue,A-R-L0098,,6,,Rue,Leonard de Vinci,91090,Lisses,,France,,6 Rue Leonard de Vinci,"6 Rue Leonard de Vinci, 91090, Lisses, France","6 Rue Leonard de Vinci, 91090, Lisses, France",Quartier - Lisses - Hotel de Ville,A-Q-L0178
La feinte de l'ours - Nancy,"2 Av. du Général Leclerc, 54000, Nancy, France",Rue,A-R-L0099,,2,,Av.,du Général Leclerc,54000,Nancy,,France,,2 Av. du Général Leclerc,"2 Av. du Général Leclerc, 54000, Nancy, France","2 Av. du Général Leclerc, 54000, Nancy, France",Quartier - Nancy - Place des Vosges,A-Q-L0191
La Mie Caline - Epinal,"32 Rue Léopold Bourg, 88000 Épinal, France",Rue,A-R-L0100,,32,,Rue,Léopold Bourg,88000,Épinal,,France,,32 Rue Léopold Bourg,"32 Rue Léopold Bourg, 88000, Épinal, France","32 Rue Léopold Bourg, 88000, Épinal, France",Quartier - Epinal - 4 Nations,A-Q-L0161
La Poste - Villers Les Nancy,"La Poste, bd Aiguillettes,  54600, Villers Lès Nancy, France",Rue,A-R-L0101,La Poste,,,Bd.,Aiguillettes,54600,Villers-lès-Nancy,,France,,La Poste Bd. Aiguillettes,"La Poste Bd. Aiguillettes, 54600, Villers-lès-Nancy, France","La Poste Bd. Aiguillettes, 54600, Villers-lès-Nancy, France",Quartier - Villers Les Nancy - Match,A-Q-L0218
La Poste Online,"9 Rue du Colonel Pierre Avia, 75015 Paris",Rue,A-R-L0102,,9,,Rue,du Colonel Pierre Avia,75015,Paris,,France,,9 Rue du Colonel Pierre Avia,"9 Rue du Colonel Pierre Avia, 75015, Paris, France","9 Rue du Colonel Pierre Avia, 75015, Paris, France",Quartier - Paris - Stade Omnisport Suzanne Lenglen,A-Q-L0206
Laboratoire Atoubio Villers-les-Nancy,"1 Bd. du Docteur Cattenoz, 54600, Villers-lès-Nancy, France",Rue,A-R-L0103,,1,,Bd.,du Docteur Cattenoz,54600,Villers-lès-Nancy,,France,,1 Bd. du Docteur Cattenoz,"1 Bd. du Docteur Cattenoz, 54600, Villers-lès-Nancy, France","1 Bd. du Docteur Cattenoz, 54600, Villers-lès-Nancy, France",Quartier - Villers Les Nancy - Saurupt,A-Q-L0219
LDLC - Boutique Nancy - Heillecourt,"6 Rue des Coteaux, 54180, Heillecourt, France",Rue,A-R-L0104,,6,,Rue,des Coteaux,54180,Heillecourt,,France,"Rue des Coteaux, 54180, Heillecourt, France",6 Rue des Coteaux,"6 Rue des Coteaux, 54180, Heillecourt, France","Rue des Coteaux, 54180, Heillecourt, France",Quartier - Heillecourt Nancy - Zone Activité Commercial,A-Q-L0175
Le Bon Coin - Siège Social," 24 Rue des Jeûneurs, 75002 Paris, France",Rue,A-R-L0105,,24,,Rue,des Jeûneurs,75002,Paris,,France,,24 Rue des Jeûneurs,"24 Rue des Jeûneurs, 75002, Paris, France","24 Rue des Jeûneurs, 75002, Paris, France",Quartier - Paris - Musée Grévin,A-Q-L0201
Le carrefour des Saveurs ( Boulangerie),"90 Bis Bd. Emile Zola, 54520, Laxou, France",Rue,A-R-L0106,,90,Bis,Bd.,Emile Zola,54520,Laxou,,France,,90 Bis Bd. Emile Zola,"90 Bis Bd. Emile Zola, 54520, Laxou, France","90 Bis Bd. Emile Zola, 54520, Laxou, France",Quartier - Nancy - IUT Nancy Charlemagne,A-Q-L0188
Le Ch'timi - Bar - Nancy,"17 Pl. Saint Epvre, 54000, Nancy, France",Rue,A-R-L0107,,17,,Pl.,Saint Epvre,54000,Nancy,,France,,17 Pl. Saint Epvre,"17 Pl. Saint Epvre, 54000, Nancy, France","17 Pl. Saint Epvre, 54000, Nancy, France",Quartier - Nancy - Place Stanislas,A-Q-L0192
Le Grand China - Epinal,"37 Rue de la Chipotte, 88000, Épinal, France",Rue,A-R-L0108,,37,,Rue,de la Chipotte,88000,Épinal,,France,,37 Rue de la Chipotte,"37 Rue de la Chipotte, 88000, Épinal, France","37 Rue de la Chipotte, 88000, Épinal, France",Quartier - Epinal - 4 Nations,A-Q-L0161
Le P'tit Resto D'Aldo,"21 Rue François Blaudez, 88000 Épinal, France",Rue,A-R-L0109,,21,,Rue,François Blaudez,88000,Épinal,,France,,21 Rue François Blaudez,"21 Rue François Blaudez, 88000, Épinal, France","21 Rue François Blaudez, 88000, Épinal, France",Quartier - Epinal - Place des vosges,A-Q-L0173
Le Shanghaï - Epinal,"25 Rue de Nancy, 88000 Épinal, France",Rue,A-R-L0110,,25,,Rue,de Nancy,88000,Épinal,,France,,25 Rue de Nancy,"25 Rue de Nancy, 88000, Épinal, France","25 Rue de Nancy, 88000, Épinal, France",Quartier - Epinal - Maison Romaine,A-Q-L0168
Lidl - Epinal,"58 Rue d'Alsace, 88000 Épinal, France",Rue,A-R-L0111,,58,,Rue,d'Alsace,88000,Épinal,,France,,58 Rue d'Alsace,"58 Rue d'Alsace, 88000, Épinal, France","58 Rue d'Alsace, 88000, Épinal, France",Quartier - Epinal - L'Epysode,A-Q-L0165
Lutins Malins - Magasin de Jeux - Epinal,"8 Rue Georges de la Tour, 88000, Épinal, France",Rue,A-R-L0112,,8,,Rue,Georges de la Tour,88000,Épinal,,France,,8 Rue Georges de la Tour,"8 Rue Georges de la Tour, 88000, Épinal, France","8 Rue Georges de la Tour, 88000, Épinal, France",Quartier - Epinal - Musée d'art,A-Q-L0170
Maaf Assurance - Boutique Epinal,"14 Rue des Petites Boucheries, 88000 Épinal, France",Rue,A-R-L0113,,14,,Rue,des Petites Boucheries,88000,Épinal,,France,,14 Rue des Petites Boucheries,"14 Rue des Petites Boucheries, 88000, Épinal, France","14 Rue des Petites Boucheries, 88000, Épinal, France",Quartier - Epinal - 4 Nations,A-Q-L0161
Made In France - Heilliecourt,"10 Av. des Érables, 54180 Houdemont",Rue,A-R-L0114,,10,,Av.,des Érables,54180,Houdemont,,France,,10 Av. des Érables,"10 Av. des Érables, 54180, Houdemont, France","10 Av. des Érables, 54180, Houdemont, France",Quartier - Heillecourt Nancy - Zone Activité Commercial,A-Q-L0175
Mama Noi - Epinal,"15 Rue des Halles, 88000 Épinal, France",Rue,A-R-L0115,,15,,Rue,des Halles,88000,Épinal,,France,,15 Rue des Halles,"15 Rue des Halles, 88000, Épinal, France","15 Rue des Halles, 88000, Épinal, France",Quartier - Epinal - Place des vosges,A-Q-L0173
Maman - Adresse Epinal,"15 Rue Jean Viriot, 88000 Épinal, France",Rue,A-R-L0116,,15,,Rue,Jean Viriot,88000,Épinal,,France,,15 Rue Jean Viriot,"15 Rue Jean Viriot, 88000, Épinal, France","15 Rue Jean Viriot, 88000, Épinal, France",Quartier - Epinal - Gare,A-Q-L0163
Marché couvert - Epinal,"Pl. Claude Bassot, 88000 Épinal, France",Rue,A-R-L0117,,,,Pl., Claude Bassot,88000,Épinal,,France,,Pl.  Claude Bassot,"Pl.  Claude Bassot, 88000, Épinal, France","Pl.  Claude Bassot, 88000, Épinal, France",Quartier - Epinal - Marché couvert,A-Q-L0169
Marjorie & Co.,"5 Rue d'Ambrail, 88000 Épinal",Rue,A-R-L0118,,5,,Rue,d'Ambrail,88000,Épinal,,France,,5 Rue d'Ambrail,"5 Rue d'Ambrail, 88000, Épinal, France","5 Rue d'Ambrail, 88000, Épinal, France",Quartier - Epinal - Place des vosges,A-Q-L0173
Mc Donalds - Ludres CInécité,Rue Charles Chone - Ludres Chaudeau 54710 LUDRES,Rue,A-R-L0119,,,,Rue,Charles Chone - Ludres Chaudeau ,54710,Ludres,,France,,Rue Charles Chone - Ludres Chaudeau ,"Rue Charles Chone - Ludres Chaudeau , 54710, Ludres, France","Rue Charles Chone - Ludres Chaudeau , 54710, Ludres, France",Quartier - Ludres Nancy - UGC Cinécité,A-Q-L0180
Michez Jean-Marc - Boulangerie,"26 Pl. des Vosges, 54000 Nancy",Rue,A-R-L0120,,26,,Pl.,des Vosges,54000,Nancy,,France,,26 Pl. des Vosges,"26 Pl. des Vosges, 54000, Nancy, France","26 Pl. des Vosges, 54000, Nancy, France",Quartier - Nancy - Place des Vosges,A-Q-L0191
Miller Tradition - Boulangerie Villers,"187 Av. du Général Leclerc, 54600 Villers-lès-Nancy, France",Rue,A-R-L0121,,187,,Av.,du Général Leclerc,54600,Villers-lès-Nancy,,France,,187 Av. du Général Leclerc,"187 Av. du Général Leclerc, 54600, Villers-lès-Nancy, France","187 Av. du Général Leclerc, 54600, Villers-lès-Nancy, France",Quartier - Villers Les Nancy - Saurupt,A-Q-L0219
Mitch - Adresse CCAS Le Chaffaut,"Rue de la mairie, 04510, Le Chaffaut Saint Jurson, France",Rue,A-R-L0122,,,,Rue,de la Mairie,04510,Le Chaffaut Saint Jurson,,France,,Rue de la Mairie,"Rue de la Mairie, 04510, Le Chaffaut Saint Jurson, France","Rue de la Mairie, 04510, Le Chaffaut Saint Jurson, France",Quartier - Le Chaffaut - Hôtel de ville,A-Q-L0177
Mme Agnes MOUGEL - Propriétaire,"9 Rue des Traits de Falère, 88120, Vagney, France",Rue,A-R-L0123,,9,,Rue,des Traits de Falère,88120,Vagney,,France,,9 Rue des Traits de Falère,"9 Rue des Traits de Falère, 88120, Vagney, France","9 Rue des Traits de Falère, 88120, Vagney, France",Quartier - Vagney - Hôtel de ville,A-Q-L0215
Mme Amandine Lacroix & Charlotte,"13 Rue des Otages, 01230, Saint-Rambert-en-Buge, France",Rue,A-R-L0124,,13,,Rue,des Otages,01230,Saint-Rambert-en-Bugey,,France,,13 Rue des Otages,"13 Rue des Otages, 01230, Saint-Rambert-en-Bugey, France","13 Rue des Otages, 01230, Saint-Rambert-en-Bugey, France",Quartier - St-Rambert - Hotel de ville,A-Q-L0213
Modulo Energie - Siège Social,"12 Rue Blaise Pascal, 37000, Tours, France",Rue,A-R-L0125,,12,,Rue,Blaise Pascal,37000,Tours,,France,,12 Rue Blaise Pascal,"12 Rue Blaise Pascal, 37000, Tours, France","12 Rue Blaise Pascal, 37000, Tours, France",Quartier - Tours - Hôtel de ville,A-Q-L0214
Moi - Adresse Epinal 2025,"4 Avenue du Maréchal de Lattre de Tassigny, 88000, Épinal, France",Rue,A-R-L0126,,4,,Av.,du Maréchal de Lattre de Tassigny,88000,Épinal,,France,,4 Av. du Maréchal de Lattre de Tassigny,"4 Av. du Maréchal de Lattre de Tassigny, 88000, Épinal, France","4 Av. du Maréchal de Lattre de Tassigny, 88000, Épinal, France",Quartier - Epinal - 4 Nations,A-Q-L0161
Monoprix - épinal,"26 Rue Léopold Bourg, 88000 Épinal, France",Rue,A-R-L0127,,26,,Rue,Léopold Bourg,88000,Épinal,,France,,26 Rue Léopold Bourg,"26 Rue Léopold Bourg, 88000, Épinal, France","26 Rue Léopold Bourg, 88000, Épinal, France",Quartier - Epinal - 4 Nations,A-Q-L0161
MTL Maison du Temps Libre - Heilliecourt,"11 Rue Gustave Lemaire, 54180 Heillecourt",Rue,A-R-L0128,,11,,Rue,Gustave Lemaire,54180,Heillecourt,,France,,11 Rue Gustave Lemaire,"11 Rue Gustave Lemaire, 54180, Heillecourt, France","11 Rue Gustave Lemaire, 54180, Heillecourt, France",Quatier - Heilliecourt Nancy - Parc de l'Embanie,A-Q-L0222
Mtre Audineau Avocate,"4 Rue des Casernes, 01000, Bourg-en-Bresse, France",Rue,A-R-L0129,,4,,Rue,des Casernes,01000,Bourg-en-Bresse,,France,,4 Rue des Casernes,"4 Rue des Casernes, 01000, Bourg-en-Bresse, France","4 Rue des Casernes, 01000, Bourg-en-Bresse, France",Quartier - Bourg - Hôtel de ville,A-Q-L0158
My Beers Nancy - Essey,"135 Av. 69 Régiment d'Infanterie, 54270 Essey-lès-Nancy",Rue,A-R-L0130,,135,,Av,69 Régiment d'Infanterie,54270,Essey-Lès-Nancy,,France,,135 Av 69 Régiment d'Infanterie,"135 Av 69 Régiment d'Infanterie, 54270, Essey-Lès-Nancy, France","135 Av 69 Régiment d'Infanterie, 54270, Essey-Lès-Nancy, France",Quartier - Nancy - ZA Essey,A-Q-L0194
NATSU sushi - Nancy,"3 Pl. des Vosges, 54000 Nancy",Rue,A-R-L0131,,3,,Pl.,des Vosges,54000,Nancy,,France,,3 Pl. des Vosges,"3 Pl. des Vosges, 54000, Nancy, France","3 Pl. des Vosges, 54000, Nancy, France",Quartier - Nancy - Place des Vosges,A-Q-L0191
Netflix - Siege social,"1209 Orange St, Wilmington, DE 19801, États-Unis",Rue,A-R-L0132,,1209,,,Orange St,,Wilmington,DE 19801,États-Unis,,1209 Orange St,"1209 Orange St, Wilmington, DE 19801, États-Unis","1209 Orange St, Wilmington, DE 19801, États-Unis",Quartier - Wilmington - City Hall,A-Q-L0220
OUTFITTERY - Siège Social,LEUSCHNERDAMM 31 10999 BERLIN ALLEMAGNE,Rue,A-R-L0133,,,,,LEUSCHNERDAMM 31,10999,Berlin,,Allemagne,,LEUSCHNERDAMM 31,"LEUSCHNERDAMM 31, 10999, Berlin, Allemagne","LEUSCHNERDAMM 31, 10999, Berlin, Allemagne",Quartier - Berlin - Hotel de Ville,A-Q-L0156
Papy - Adresse Villers,"1 Avenue de Saurupt, 54600, Villers-lès-Nancy, France",Rue,A-R-L0134,,1,,Av.,de Saurupt,54600,Villers-lès-Nancy,,France,,1 Av. de Saurupt,"1 Av. de Saurupt, 54600, Villers-lès-Nancy, France","1 Av. de Saurupt, 54600, Villers-lès-Nancy, France",Quartier - Villers Les Nancy - Saurupt,A-Q-L0219
Parking Gare Nancy - Saint Léon,"5 Rue Saint-Léon, 54000, Nancy, France",Rue,A-R-L0135,,5,,Rue,Saint-Léon,54000,Nancy,,France,,5 Rue Saint-Léon,"5 Rue Saint-Léon, 54000, Nancy, France","5 Rue Saint-Léon, 54000, Nancy, France",Quartier - Nancy - Gare,A-Q-L0187
Parking Pichon - Nancy,"25 Pl. des Vosges, 54000 Nancy",Rue,A-R-L0136,,25,,Pl.,des Vosges,54000,Nancy,,France,,25 Pl. des Vosges,"25 Pl. des Vosges, 54000, Nancy, France","25 Pl. des Vosges, 54000, Nancy, France",Quartier - Nancy - Place des Vosges,A-Q-L0191
Parking Pl. Colonel Driant - Nancy,"78 Pl. Colonel Driant,54000 Nancy, France",Rue,A-R-L0137,,78,,Pl.,Colonel Driant,54000,Nancy,,France,,78 Pl. Colonel Driant,"78 Pl. Colonel Driant, 54000, Nancy, France","78 Pl. Colonel Driant, 54000, Nancy, France",Quartier - Nancy - Place Stanislas,A-Q-L0192
Patinoire - Epinal,"2 Fbg de Poissompré, 88000 Épinal",Rue,A-R-L0138,,2,,Fbg,de Poissompré,88000,Épinal,,France,,2 Fbg de Poissompré,"2 Fbg de Poissompré, 88000, Épinal, France","2 Fbg de Poissompré, 88000, Épinal, France",Quartier - Epinal - Patinoire,A-Q-L0172
Patou - Adresse Paris,"1 Rue Monsieur le Prince, 75006, Paris, France",Rue,A-R-L0139,,1,,Rue,Monsieur le Prince,75006,Paris,,France,,1 Rue Monsieur le Prince,"1 Rue Monsieur le Prince, 75006, Paris, France","1 Rue Monsieur le Prince, 75006, Paris, France",Quartier - Paris - Jardin & Palais du Luxembourg,A-Q-L0198
Pays - Allemagne,"Rotes Rathaus, Rathausstraße 15, 10178 Berlin, Allemagne",Pays,A-P-L0140,,,,,"Rotes Rathaus, Rathausstraße 15",10178 ,Berlin,,Allemagne,,"Rotes Rathaus, Rathausstraße 15","Rotes Rathaus, Rathausstraße 15, 10178 , Berlin, Allemagne","Rotes Rathaus, Rathausstraße 15, 10178 , Berlin, Allemagne",,
Pays - Chine,"2 Zhengyi Rd, Dongcheng, Pekin, Chine, 100051",Pays,A-P-L0141,,2,,,"Zhengyi Rd, Dongcheng",,Pekin,,Chine,,"2 Zhengyi Rd, Dongcheng","2 Zhengyi Rd, Dongcheng, Pekin, Chine","2 Zhengyi Rd, Dongcheng, Pekin, Chine",,
Pays - Etat-Unis,"1525 H St NW, Washington, DC 20005, États-Unis",Pays,A-P-L0142,,1525,H,,St NW,,Washington,DC 20005,États-Unis,,1525 H St NW,"1525 H St NW, Washington, DC 20005, États-Unis","1525 H St NW, Washington, DC 20005, États-Unis",,
Pays - France,"15 Pl. de l'Hôtel de Ville, 75004 Paris",Pays,A-P-L0143,,15,,Pl.,de l'Hôtel de Ville,75004,Paris,,France,,15 Pl. de l'Hôtel de Ville,"15 Pl. de l'Hôtel de Ville, 75004, Paris, France","15 Pl. de l'Hôtel de Ville, 75004, Paris, France",,
Pays - Pays-Bas,"Coolsingel 40, 3011 AD Rotterdam, Pays-Bas",Pays,A-P-L0144,Coolsingek,40,,,3011 AD,,Rotterdam,,Pays-Bas,,Coolsingek 40 3011 AD,"Coolsingek 40 3011 AD, Rotterdam, Pays-Bas","Coolsingek 40 3011 AD, Rotterdam, Pays-Bas",,
Pays - Roumanie,"Bulevardul Regina Elisabeta 47, București 030167, Roumanie",Pays,A-P-L0145,Bulevardul Regina Elisabeta ,47,,,,,Bucharest,,Roumanie,,Bulevardul Regina Elisabeta  47,"Bulevardul Regina Elisabeta  47, Bucharest, Roumanie","Bulevardul Regina Elisabeta  47, Bucharest, Roumanie",,
PGM Stuff - Siège social,"161 Impasse des Frères Lumière, 83260 La Crau, France",Rue,A-R-L0146,,161,,Impasse,des Frères Lumière,83260,La Crau,,France,,161 Impasse des Frères Lumière,"161 Impasse des Frères Lumière, 83260, La Crau, France","161 Impasse des Frères Lumière, 83260, La Crau, France",Quartier - La Crau - Parc de l'Estalle,A-Q-L0176
Pharmacie de 4 Nations - Epinal,"1 Pl. des 4 Nations, 88000 Épinal, France",Rue,A-R-L0147,,1,,Pl.,des 4 Nations,88000,Épinal,,France,,1 Pl. des 4 Nations,"1 Pl. des 4 Nations, 88000, Épinal, France","1 Pl. des 4 Nations, 88000, Épinal, France",Quartier - Epinal - 4 Nations,A-Q-L0161
PHARMACIE DES AIGUILLETTES - Villers,"60 Av. du Général Leclerc, 54600, Villers-lès-Nancy, France",Rue,A-R-L0148,,60,,Av.,du Général Leclerc,54600,Villers-lès-Nancy,,France,,60 Av. du Général Leclerc,"60 Av. du Général Leclerc, 54600, Villers-lès-Nancy, France","60 Av. du Général Leclerc, 54600, Villers-lès-Nancy, France",Quartier - Villers Les Nancy - Match,A-Q-L0218
Pizza Olto - Nancy,"121 Bd d'Haussonville, 54000 Nancy",Rue,A-R-L0149,,121,,Bd,d'Haussonville,54000,Nancy,,France,,121 Bd d'Haussonville,"121 Bd d'Haussonville, 54000, Nancy, France","121 Bd d'Haussonville, 54000, Nancy, France",Quartier - Nancy - Domaine et Château du Charmois,A-Q-L0186
Pizzeria Sole Mio - Nancy,"12 Pl. Paul Painlevé, 54000 Nancy",Quartier,A-Q-L0150,,12,,Rue,Paul Painlevé,54000,Nancy,,France,,12 Rue Paul Painlevé,"12 Rue Paul Painlevé, 54000, Nancy, France","12 Rue Paul Painlevé, 54000, Nancy, France",Quartier - Nancy - IUT Nancy Charlemagne,A-Q-L0188
Pl'asso Jeux - Quartier La Madelaine,"6 quart Magdeleine, 88000 Epinal, France",Rue,A-R-L0151,,6,,Quart.,Magdeleine,88000,Épinal,,France,,6 Quart. Magdeleine,"6 Quart. Magdeleine, 88000, Épinal, France","6 Quart. Magdeleine, 88000, Épinal, France",Quartier - Epinal - Golbey Intermarché,A-Q-L0164
Poulaillon Epinal,"6 Rue Léopold Bourg, 88000 Épinal,France",Rue,A-R-L0152,,6,,Rue,Léopold Bourg,88000,Épinal,,France,,6 Rue Léopold Bourg,"6 Rue Léopold Bourg, 88000, Épinal, France","6 Rue Léopold Bourg, 88000, Épinal, France",Quartier - Epinal - Place des vosges,A-Q-L0173
Quartier - Amberieu - Hôtel de ville,"1 Pl. Robert Marcelpoil, 01500, Ambérieu-en-Bugey, France",Quartier,A-Q-L0153,,1,,Pl.,Robert Marcelpoil,01500,Ambérieu-en-Bugey,,France,,1 Pl. Robert Marcelpoil,"1 Pl. Robert Marcelpoil, 01500, Ambérieu-en-Bugey, France","1 Pl. Robert Marcelpoil, 01500, Ambérieu-en-Bugey, France",Ville - Amberieu en Bugey,A-V-L0258
Quartier - Belges - Hotel de Ville," 77, Rue Calixte Camelle, 33130 Begles, France",Quartier,A-Q-L0154,,77,,Rue,Calixte Camelle,33130,Belges,,France,,77 Rue Calixte Camelle,"77 Rue Calixte Camelle, 33130, Belges, France","77 Rue Calixte Camelle, 33130, Belges, France",Ville - Bordeaux,A-V-L0261
