TexteRecherche,TiersID,TypeTiersID,NomCode,DateCode,Type,Nom,Adresse,AdresseID,DateCreation,DateCloture,PortefeuilleID
Le carrefour des Saveurs ( Boulangerie),T#TT-COM-RE-BOU#250704#LE_CARREFOUR_DE,TT-COM-RE-BOU,LE_CARREFOUR_DE,250704,Commerce & Activité / Restauration / Boulangerie,Le carrefour des saveurs,Le carrefour des Saveurs ( Boulangerie),A-R-L0106,04/07/2025,,
Le Ch'timi - Bar - Nancy,T#TT-COM-RE-BAR#251001#LE_CHTIMI__BAR_,TT-COM-RE-BAR,LE_CHTIMI__BAR_,251001,Commerce & Activité / Restauration / Bar & Café,Le Ch'timi - Bar - Nancy,Le Ch'timi - Bar - Nancy,A-R-L0107,01/10/2025,,
Le Grand China ,T#TT-COM-RE-RES#250720#LE_GRAND_CHINA_,TT-COM-RE-RES,LE_GRAND_CHINA_,250720,Commerce & Activité / Restauration / Restaurant,Le grand China,Le Grand China - Epinal,A-R-L0108,20/07/2025,,
Le P'tit Resto D'Aldo,T#TT-COM-RE-RES#251001#LE_PTIT_RESTO_D,TT-COM-RE-RES,LE_PTIT_RESTO_D,251001,Commerce & Activité / Restauration / Restaurant,Le P'tit Resto D'Aldo,Le P'tit Resto D'Aldo,A-R-L0109,01/10/2025,,
Le Shanghaï - restaurant,T#TT-COM-RE-RES#250701#LE_SHANGHA__RES,TT-COM-RE-RES,LE_SHANGHA__RES,250701,Commerce & Activité / Restauration / Restaurant,Le shanghaï,Le Shanghaï - Epinal,A-R-L0110,01/07/2025,,
LIDL - Epinal,T#TT-COM-DI-SUP#251101#LIDL__EPINAL___,TT-COM-DI-SUP,LIDL__EPINAL___,251101,Commerce & Activité / Distribution / Supermarché,Lidl - Epinal,Lidl - Epinal,A-R-L0111,01/11/2025,,
Lutins Malins - Magasin de Jeux - Epinal,T#TT-COM-LO-JEU#250702#LUTINS_MALINS__,TT-COM-LO-JEU,LUTINS_MALINS__,250702,Commerce & Activité / Loisirs / Jeux,Lutin Malin (jeux),Lutins Malins - Magasin de Jeux - Epinal,A-R-L0112,02/07/2025,,
Maaf Assurance - Epinal,T#TT-PUB-CO-GAR#250801#MAAF_ASSURANCE_,TT-PUB-CO-GAR,MAAF_ASSURANCE_,250801,Public & Assimilé / Collectif / Garanties & Assurances,Maaf - épinal,Maaf Assurance - Boutique Epinal,A-R-L0113,01/08/2025,,
Made In France Heilliecourt,T#TT-COM-RE-RES#250915#MADE_IN_FRANCE_,TT-COM-RE-RES,MADE_IN_FRANCE_,250915,Commerce & Activité / Restauration / Restaurant,Made In France Heilliecourt,Made In France - Heilliecourt,A-R-L0114,15/09/2025,,
Magasin Intermarche - Ludres Nancy,T#TT-COM-DI-SUP#250101#MAGASIN_INTERMA,TT-COM-DI-SUP,MAGASIN_INTERMA,250101,Commerce & Activité / Distribution / Supermarché,Intermarché - Ludres,Intermarché - Ludres,A-R-L0088,01/01/2025,,
MAISON BELDICOT - Epinal - Marché couvert,T#TT-COM-SP-FRO#991230#MAISON_BELDICOT,TT-COM-SP-FRO,MAISON_BELDICOT,991230,Commerce & Activité / Spécialisé / Fromagerie,MAISON BELDICOT (marché couvert),Marché couvert - Epinal,A-R-L0117,,,
Mama Noi - Epinal,T#TT-COM-RE-RES#250912#MAMA_NOI__EPINA,TT-COM-RE-RES,MAMA_NOI__EPINA,250912,Commerce & Activité / Restauration / Restaurant,Mama Noi,Mama Noi - Epinal,A-R-L0115,12/09/2025,,
Maman,T#TT-SER-TR-PER#250701#MAMAN______,TT-SER-TR-PER,MAMAN______,250701,Services & Support / Travail & Ressource / Personne physique,Maman,Maman - Adresse Epinal,A-R-L0116,01/07/2025,24/12/2025,
Marché - Bonbons des hautes Vosges,T#TT-COM-RE-SUC#250901#MARCH__BONBONS_,TT-COM-RE-SUC,MARCH__BONBONS_,250901,Commerce & Activité / Restauration / Sucrerie & Autres,Bonbon des Hautes Vosges,Marché couvert - Epinal,A-R-L0117,01/09/2025,,
Marché - Rotisseries 59 Anor,T#TT-COM-RE-RES#250906#MARCH__ROTISSER,TT-COM-RE-RES,MARCH__ROTISSER,250906,Commerce & Activité / Restauration / Restaurant,Les rotisseries 59 Anor,Marché couvert - Epinal,A-R-L0117,06/09/2025,,
Margorie & co.,T#TT-COM-RE-BAR#250901#MARGORIE__CO___,TT-COM-RE-BAR,MARGORIE__CO___,250901,Commerce & Activité / Restauration / Bar & Café,Marjorie & Co.,Marjorie & Co.,A-R-L0118,01/09/2025,,
Mc Donalds - Ludres CInécité,T#TT-COM-RE-RES#250630#MC_DONALDS__LUD,TT-COM-RE-RES,MC_DONALDS__LUD,250630,Commerce & Activité / Restauration / Restaurant,Mc Donald - Cinécité Ludres,Mc Donalds - Ludres CInécité,A-R-L0119,30/06/2025,,
Miller Tradition - Boulangerie Villers,T#TT-COM-RE-BOU#250801#MILLER_TRADITIO,TT-COM-RE-BOU,MILLER_TRADITIO,250801,Commerce & Activité / Restauration / Boulangerie,Miller Tradition (Boulenagerie),Miller Tradition - Boulangerie Villers,A-R-L0121,01/08/2025,,
Modulo Energie,T#TT-MOB-IN-BOR#250723#MODULO_ENERGIE_,TT-MOB-IN-BOR,MODULO_ENERGIE_,250723,Mobilité & Logistique / Infrastructures / Borne électrique,Modulo Energie,Modulo Energie - Siège Social,A-R-L0125,23/07/2025,,
Moi - Epargne Populaire,T#TT-SER-TR-PER#250901#MOI__EPARGNE_PO,TT-SER-TR-PER,MOI__EPARGNE_PO,250901,Services & Support / Travail & Ressource / Personne physique,Compte Perso Epargne Populaire,Moi - Adresse Epinal 2025,A-R-L0126,01/09/2025,,PTF#EP#EPAG#EPA
Moi - Livret A,T#TT-SER-TR-PER#250901#MOI__LIVRET_A__,TT-SER-TR-PER,MOI__LIVRET_A__,250901,Services & Support / Travail & Ressource / Personne physique,Compte Perso Livret A,Moi - Adresse Epinal 2025,A-R-L0126,01/09/2025,,PTF#EP#EPAG#LIV
Moi - Portefeuille Especes - mai 25,T#TT-SER-TR-PER#250101#MOI__PORTEFEUIL,TT-SER-TR-PER,MOI__PORTEFEUIL,250101,Services & Support / Travail & Ressource / Personne physique,Compte Perso Salaire,Papy - Adresse Villers,A-R-L0134,01/01/2025,01/09/2025,PTF#ES#ESPE#ESP
Moi - Portefeuille Héritage,T#TT-SER-TR-PER#250901#MOI__PORTEFEUIL,TT-SER-TR-PER,MOI__PORTEFEUIL,250901,Services & Support / Travail & Ressource / Personne physique,Compte Perso Héritage,Moi - Adresse Epinal 2025,A-R-L0126,01/09/2025,,PTF#BA#BANQ#HÉR
Monoprix Epinal,T#TT-COM-DI-SUP#250821#MONOPRIX_EPINAL,TT-COM-DI-SUP,MONOPRIX_EPINAL,250821,Commerce & Activité / Distribution / Supermarché,Monoprix Epinal,Monoprix - épinal,A-R-L0127,21/08/2025,,
Monsieur Telephone - Magasin Ludres,T#TT-COM-SP-ÉLE#250101#MONSIEUR_TELEPH,TT-COM-SP-ÉLE,MONSIEUR_TELEPH,250101,Commerce & Activité / Spécialisé / Électro,Monsieur Telephone,Intermarché - Ludres,A-R-L0088,01/01/2025,,
MOUGEL Agnès - Propriétaire,T#TT-SER-IM-PRO#250727#MOUGEL_AGNS__PR,TT-SER-IM-PRO,MOUGEL_AGNS__PR,250727,Services & Support / Immobilier / Propriétaire,Mme MOUGEL Agnes (proprio),Mme Agnes MOUGEL - Propriétaire,A-R-L0123,27/07/2025,,
Mtre Audineau Avocate,T#TT-SER-SE-SER#250101#MTRE_AUDINEAU_A,TT-SER-SE-SER,MTRE_AUDINEAU_A,250101,Service & Support / Service / Service à la personne,Mtre Audineau Avocate,Mtre Audineau Avocate,A-R-L0129,01/01/2025,,
Nancy Stockage 54 - Nancy Pulnoy,T#TT-MOB-LO-STO#250101#NANCY_STOCKAGE_,TT-MOB-LO-STO,NANCY_STOCKAGE_,250101,Mobilité & Logistique / Logistique / Stockage,Nancy Stockage 54,Box Stockage & Déménageur - Nancy Pulnoy,A-R-L0022,01/01/2025,,
Natsu - sushi - Nancy,T#TT-COM-RE-RES#991230#NATSU__SUSHI__N,TT-COM-RE-RES,NATSU__SUSHI__N,991230,Commerce & Activité / Restauration / Restaurant,Natsu Sushi (Nancy),NATSU sushi - Nancy,A-R-L0131,,,
OUTFITTERY,T#TT-COM-NU-INT#251001#OUTFITTERY_____,TT-COM-NU-INT,OUTFITTERY_____,251001,Commerce & Activité / Numérique / Internet (Site marchant),OUTFITTERY,OUTFITTERY - Siège Social,A-R-L0133,01/10/2025,,
Papy famille ,T#TT-SER-TR-PER#250101#PAPY_FAMILLE___,TT-SER-TR-PER,PAPY_FAMILLE___,250101,Services & Support / Travail & Ressource / Personne physique,Papy,Papy - Adresse Villers,A-R-L0134,01/01/2025,,PTF#PR#PRET#PAP
Parking Gare Nancy - Saint Léon,T#TT-MOB-IN-PAR#250712#PARKING_GARE_NA,TT-MOB-IN-PAR,PARKING_GARE_NA,250712,Mobilité & Logistique / Infrastructures /  Parking,Parking St Léon - Gare Nancy,Parking Gare Nancy - Saint Léon,A-R-L0135,12/07/2025,,
Parking Pichon / Pl des Vosges - Nancy,T#TT-MOB-IN-PAR#251001#PARKING_PICHON_,TT-MOB-IN-PAR,PARKING_PICHON_,251001,Mobilité & Logistique / Infrastructures /  Parking,Parking Pichon - Gare Nancy,Parking Pichon - Nancy,A-R-L0136,01/10/2025,,
Patinoire - Epinal,T#TT-PUB-SE-AUT#251101#PATINOIRE__EPIN,TT-PUB-SE-AUT,PATINOIRE__EPIN,251101,Public & Assimilé / Service public / Autres Services,Patinoire - Epinal,Patinoire - Epinal,A-R-L0138,01/11/2025,,
Patou famille,T#TT-SER-TR-PER#250101#PATOU_FAMILLE__,TT-SER-TR-PER,PATOU_FAMILLE__,250101,Services & Support / Travail & Ressource / Personne physique,Patou,Patou - Adresse Paris,A-R-L0139,01/01/2025,,PTF#PR#PRET#PAT
PCC,T#TT-SER-TR-PER#250101#PCC______,TT-SER-TR-PER,PCC______,250101,Services & Support / Travail & Ressource / Personne physique,PCC,Mme Amandine Lacroix & Charlotte,A-R-L0124,01/01/2025,,PTF#JU#JUST#PCC
PGM Stuff,T#TT-COM-NU-INT#250101#PGM_STUFF______,TT-COM-NU-INT,PGM_STUFF______,250101,Commerce & Activité / Numérique / Internet (Site marchant),PGM Stuff,PGM Stuff - Siège social,A-R-L0146,01/01/2025,,
Pharmacie - 4 Nations,T#TT-PUB-SA-PHA#251101#PHARMACIE___NAT,TT-PUB-SA-PHA,PHARMACIE___NAT,251101,Public & Assimilé / Santé / Pharmacie,Pharmacie 4 Nations,Pharmacie de 4 Nations - Epinal,A-R-L0147,01/11/2025,,
PHARMACIE DES AIGUILLETTES - Villers,T#TT-PUB-SA-PHA#250101#PHARMACIE_DES_A,TT-PUB-SA-PHA,PHARMACIE_DES_A,250101,Public & Assimilé / Santé / Pharmacie,Pharmacie des Aiguillettes,PHARMACIE DES AIGUILLETTES - Villers,A-R-L0148,01/01/2025,,
Pizza Olto - Nancy,T#TT-COM-RE-RES#991230#PIZZA_OLTO__NAN,TT-COM-RE-RES,PIZZA_OLTO__NAN,991230,Commerce & Activité / Restauration / Restaurant,Pizza Olto,Pizza Olto - Nancy,A-R-L0149,,,
Pl'asso Jeu,T#TT-PUB-CO-ASS#250901#PLASSO_JEU_____,TT-PUB-CO-ASS,PLASSO_JEU_____,250901,Public & Assimilé / Collectif / Association,Pl'asso Jeux,Pl'asso Jeux - Quartier La Madelaine,A-R-L0151,01/09/2025,,
Poulaillon - Boulangerie - epinal,T#TT-COM-RE-BOU#250902#POULAILLON__BOU,TT-COM-RE-BOU,POULAILLON__BOU,250902,Commerce & Activité / Restauration / Boulangerie,Poullaillon,Poulaillon Epinal,A-R-L0152,02/09/2025,,
RATP,T#TT-MOB-IN-TRA#250901#RATP______,TT-MOB-IN-TRA,RATP______,250901,Mobilité & Logistique / Infrastructures / Transport en commun,RATP,RATP,A-R-L0223,01/09/2025,,
Restaurant - Yom Thaï Food - Nancy,T#TT-COM-RE-RES#250620#RESTAURANT__YOM,TT-COM-RE-RES,RESTAURANT__YOM,250620,Commerce & Activité / Restauration / Restaurant,Resto - Yom Thaï Food,Restaurant - Yom Thaï Food - Nancy,A-R-L0240,20/06/2025,,
Service Minute - Cordonnier Serrurier - Nancy Heilliecourt,T#TT-COM-SP-COR#250821#SERVICE_MINUTE_,TT-COM-SP-COR,SERVICE_MINUTE_,250821,"Commerce & Activité / Spécialisé / Cordonier, Serrurier & Assimilés",Serrurier Carrefour Nancy,Carrefour Heilliecourt Nancy,A-R-L0025,21/08/2025,,
Shiva - Epinal,T#TT-SER-SE-SER#251001#SHIVA__EPINAL__,TT-SER-SE-SER,SHIVA__EPINAL__,251001,Service & Support / Service / Service à la personne,Shiva - Epinal,Shiva - Epinal,A-R-L0241,01/10/2025,,
Smash Naan Game,T#TT-COM-RE-RES#250901#SMASH_NAAN_GAME,TT-COM-RE-RES,SMASH_NAAN_GAME,250901,Commerce & Activité / Restauration / Restaurant,Smash Naan Game,Smash Naan Game,A-R-L0243,01/09/2025,,
SNCF - Train & Bus,T#TT-MOB-IN-TRA#250809#SNCF__TRAIN__BU,TT-MOB-IN-TRA,SNCF__TRAIN__BU,250809,Mobilité & Logistique / Infrastructures / Transport en commun,SNCF,SNCF - Siège Social,A-R-L0244,09/08/2025,,
Stan Transport en commun  Nancéens ,T#TT-MOB-IN-TRA#250101#STAN_TRANSPORT_,TT-MOB-IN-TRA,STAN_TRANSPORT_,250101,Mobilité & Logistique / Infrastructures / Transport en commun,Stan - Transport Nancy,STAN - Transport en commun - Nancy,A-R-L0246,01/01/2025,,
Steam - Valve Corp - Jeux Vidéo,T#TT-COM-NU-PLA#250702#STEAM__VALVE_CO,TT-COM-NU-PLA,STEAM__VALVE_CO,250702,Commerce & Activité / Numérique / Plateforme,Steam - Plateforme Gaming,Steam - Valve Corp - Plateforme Gaming - Siège Social,A-R-L0249,02/07/2025,,
Supermarché Match Villers-les-nancy,T#TT-COM-DI-SUP#250619#SUPERMARCH_MATC,TT-COM-DI-SUP,SUPERMARCH_MATC,250619,Commerce & Activité / Distribution / Supermarché,Supermarché MATCH,Supermarché MATCH & Commerces,A-R-L0250,19/06/2025,,
Sygestim - Agence Immo Epinal,T#TT-SER-IM-AGE#250727#SYGESTIM__AGENC,TT-SER-IM-AGE,SYGESTIM__AGENC,250727,Services & Support / Immobilier / Agence,Sygestim - Agence Immo,Sygestim - Agence Immo - Epinal,A-R-L0251,27/07/2025,01/09/2025,
Syma - Mobile,T#TT-COM-NU-FOU#250101#SYMA__MOBILE___,TT-COM-NU-FOU,SYMA__MOBILE___,250101,Commerce & Activité / Numérique / Fournisseur (Internet & Mobile),Syma - Mobile,Syma - Mobile - Siège Social,A-R-L0252,01/01/2025,,
Tacos One  - Magasin Nancy,T#TT-COM-RE-RES#250101#TACOS_ONE___MAG,TT-COM-RE-RES,TACOS_ONE___MAG,250101,Commerce & Activité / Restauration / Restaurant,Tacos One,Tacos One  - Magasin Nancy,A-R-L0253,01/01/2025,,
Temu,T#TT-COM-NU-INT#250101#TEMU______,TT-COM-NU-INT,TEMU______,250101,Commerce & Activité / Numérique / Internet (Site marchant),Temu,Temu - Siège Social,A-R-L0254,01/01/2025,,
The Place To Be - Epinal,T#TT-COM-RE-RES#250912#THE_PLACE_TO_BE,TT-COM-RE-RES,THE_PLACE_TO_BE,250912,Commerce & Activité / Restauration / Restaurant,The Place To Be,The Place To Be - Epinal,A-R-L0255,12/09/2025,,
UGC Cinécité - Ludres,T#TT-COM-LO-CIN#250630#UGC_CINCIT__LUD,TT-COM-LO-CIN,UGC_CINCIT__LUD,250630,Commerce & Activité / Loisirs / Cinéma,UGC Cinécité,UGC Cinécité - Ludres,A-R-L0256,30/06/2025,,
Vepee,T#TT-COM-NU-INT#250901#VEPEE______,TT-COM-NU-INT,VEPEE______,250901,Commerce & Activité / Numérique / Internet (Site marchant),Vepee,Vepee - Siège Social,A-R-L0257,01/09/2025,,
Ville d'Epinal,T#TT-SER-TR-EMP#250901#VILLE_DEPINAL__,TT-SER-TR-EMP,VILLE_DEPINAL__,250901,Services & Support / Travail & Ressource / Employeur,Ville d'épinal,Hotel de Ville d'Epinal,A-R-L0083,01/09/2025,,
Villers les Nancy  - La poste Villers,T#TT-PUB-AS-POS#250101#VILLERS_LES_NAN,TT-PUB-AS-POS,VILLERS_LES_NAN,250101,Public & Assimilé / Assimilé / Poste,La poste,La Poste - Villers Les Nancy,A-R-L0101,01/01/2025,,
Vilvolt,T#TT-MOB-IN-TRA#250901#VILVOLT______,TT-MOB-IN-TRA,VILVOLT______,250901,Mobilité & Logistique / Infrastructures / Transport en commun,Vilvolt,Siège Agglo Epinal,A-R-L0242,01/09/2025,,
Yanna Fleurs - Nancy,T#TT-COM-SP-FLE#991230#YANNA_FLEURS__N,TT-COM-SP-FLE,YANNA_FLEURS__N,991230,Commerce & Activité / Spécialisé / Fleuriste,Yanna Fleurs - Nancy,Yanna fleurs - Nancy,A-R-L0281,,,
